global_idx,Breast,Lung,Bowel,Prostate,Cervix,Skin,Myeloid,Lymphoid,Brain,Liver,Ovary,Stomach
606,0,1,0,0,0,0,0,0,0,1,0,0
737,0,1,0,0,1,0,1,1,0,1,0,1
1259,1,1,1,0,0,0,0,1,0,1,0,1
184,0,0,1,0,0,1,0,0,0,0,0,0
1479,0,0,0,0,0,1,0,0,1,0,0,0
491,1,1,0,1,0,1,0,1,1,1,1,0
1930,1,0,1,1,0,0,0,1,1,1,0,0
738,1,1,0,0,0,0,1,0,0,0,1,0
1335,1,0,1,1,1,0,1,1,0,0,1,1
50,0,0,1,0,1,0,0,0,0,0,0,0
655,1,1,1,1,1,1,1,1,1,0,1,0
420,1,0,0,0,0,0,0,0,0,0,1,0
1646,1,0,1,0,1,0,0,0,0,1,0,0
1091,1,0,1,1,0,0,1,1,1,0,0,0
1072,0,1,0,1,0,0,0,0,0,0,0,0
1549,0,0,1,0,1,0,0,0,0,0,0,0
1112,0,1,0,0,0,1,0,0,0,0,0,0
1,0,0,1,0,1,0,1,1,0,0,0,0
846,1,1,1,1,1,0,1,1,1,0,1,1
1767,1,0,1,1,1,1,1,1,1,0,0,0
1392,0,0,1,0,0,0,0,0,0,0,0,1
1801,1,0,0,0,0,1,1,1,0,0,0,0
1366,0,1,0,0,0,0,0,0,0,1,0,0
1940,0,0,0,1,0,1,0,0,0,0,0,0
713,1,1,1,1,1,1,1,0,0,0,1,0
1592,0,0,0,0,1,1,0,1,0,0,1,0
1750,1,0,1,1,0,1,0,0,1,1,0,0
1457,0,0,0,1,0,1,0,0,0,0,0,0
1120,1,1,1,0,0,0,0,0,0,1,0,0
418,0,0,0,0,0,0,1,0,0,0,0,1
1599,1,0,1,1,0,0,0,0,0,0,1,0
1673,0,1,1,0,0,0,0,0,0,1,0,1
866,1,1,1,1,1,1,1,1,1,1,1,1
378,0,0,0,0,1,0,1,1,0,1,0,0
1326,1,0,0,0,0,0,0,1,0,0,0,0
86,1,1,0,0,1,1,0,1,1,1,1,0
1271,0,0,0,0,0,0,0,0,0,1,0,1
198,1,1,1,0,0,0,0,1,1,1,1,1
1686,0,1,0,1,0,1,1,1,1,0,0,0
967,0,1,0,1,0,0,0,0,0,0,0,0
10,1,1,0,1,1,1,1,1,0,0,1,0
1845,1,0,0,1,1,0,1,1,0,0,0,1
117,0,0,1,0,0,0,1,0,0,0,0,0
1027,1,0,1,1,0,0,0,1,0,0,0,0
975,0,1,0,0,0,1,0,0,0,0,0,0
1246,1,1,1,0,1,0,1,0,1,1,0,1
1042,1,1,1,1,1,1,1,1,1,1,1,1
586,0,0,0,0,0,1,0,0,0,0,1,0
1679,1,1,0,0,0,0,0,0,0,0,0,0
1433,1,0,1,1,0,1,1,0,0,1,0,0
1857,1,0,0,1,0,0,0,0,0,0,0,0
257,1,0,0,0,0,0,1,0,0,0,0,0
47,0,1,0,0,1,0,0,0,0,0,0,0
966,0,0,0,0,0,0,0,1,1,0,0,0
727,0,0,0,0,0,0,1,0,1,0,0,0
1559,1,0,1,0,1,0,0,0,0,1,0,0
790,0,0,0,1,0,0,0,0,0,1,0,0
1938,0,0,0,1,0,0,0,0,0,1,0,0
1886,1,1,0,0,0,1,1,0,0,0,0,0
574,1,0,0,0,1,0,0,0,0,0,0,0
1765,0,0,0,1,0,0,0,0,0,0,1,0
636,1,0,0,0,0,0,1,0,0,0,0,0
1430,0,1,1,0,0,0,0,0,0,0,0,0
277,1,1,1,1,1,1,0,1,1,0,1,1
1574,1,0,0,0,0,0,0,0,1,0,0,0
141,0,1,0,0,1,0,0,0,0,0,0,0
