global_idx,Breast,Lung,Bowel,Prostate,Cervix,Skin,Myeloid,Lymphoid,Brain,Liver,Ovary,Stomach
606,0,0,1,0,0,0,0,0,0,1,0,0
737,1,1,0,0,0,0,1,1,0,1,1,0
1259,1,1,1,1,0,0,0,0,0,0,1,1
184,0,0,0,0,0,1,0,0,0,1,0,0
1479,0,0,0,0,0,1,1,0,0,0,0,0
491,1,1,0,1,1,1,1,1,1,0,0,0
1930,1,1,1,1,0,0,1,1,0,0,0,0
738,1,1,0,0,0,0,0,1,0,0,0,1
1335,1,0,0,1,1,1,1,1,0,1,0,1
50,0,0,1,0,0,0,0,0,1,0,0,0
655,1,1,1,1,1,1,0,1,1,1,0,1
420,1,0,1,0,0,0,0,0,0,0,0,0
1646,0,1,1,0,1,0,0,0,0,0,1,0
1091,1,0,0,0,1,1,1,1,0,1,0,0
1072,1,1,0,0,0,0,0,0,0,0,0,0
1549,0,0,1,0,0,1,0,0,0,0,0,0
1112,0,0,0,0,0,1,1,0,0,0,0,0
1,0,0,1,0,0,0,1,1,0,1,0,0
846,1,1,0,1,1,0,1,1,1,1,1,1
1767,1,1,1,0,1,1,1,1,0,1,0,0
1392,0,0,1,0,1,0,0,0,0,0,0,0
1801,0,0,0,0,0,0,1,1,1,0,1,0
1366,0,1,0,0,0,0,0,0,0,0,0,1
1940,0,0,0,1,1,0,0,0,0,0,0,0
713,1,1,1,1,1,1,0,0,0,1,1,0
1592,0,0,0,0,1,1,0,0,1,0,1,0
1750,1,0,0,1,0,1,0,1,1,1,0,0
1457,0,0,0,1,0,0,1,0,0,0,0,0
1120,1,1,1,0,0,0,0,0,1,0,0,0
418,0,0,0,0,0,0,1,0,0,1,0,0
1599,0,0,1,1,0,0,0,0,1,1,0,0
1673,0,1,1,0,0,0,1,0,0,0,0,1
866,1,1,1,1,1,1,1,1,1,1,1,1
378,0,0,0,0,0,0,1,1,1,0,0,1
1326,1,0,0,0,0,1,0,0,0,0,0,0
86,1,0,0,1,1,1,0,1,0,1,1,1
1271,0,0,0,0,0,0,0,0,0,0,1,1
198,1,1,1,1,0,1,0,0,0,1,1,1
1686,0,1,0,1,0,1,1,1,0,1,0,0
967,0,1,0,0,0,0,0,0,0,0,1,0
10,1,1,0,1,1,1,1,1,0,1,0,0
1845,1,1,0,1,0,1,1,1,0,0,0,0
117,0,0,1,0,1,0,0,0,0,0,0,0
1027,1,1,1,0,0,0,0,0,0,0,1,0
975,0,1,0,0,0,1,0,0,0,0,0,0
1246,1,1,1,0,0,1,1,1,0,1,1,0
1042,1,1,1,1,1,1,1,1,1,1,1,1
586,0,0,1,0,0,1,0,0,0,0,0,0
1679,1,0,1,0,0,0,0,0,0,0,0,0
1433,1,1,1,1,0,1,0,0,1,0,0,0
1857,1,0,0,0,0,0,1,0,0,0,0,0
257,1,0,0,0,1,0,0,0,0,0,0,0
47,0,1,0,0,0,0,0,1,0,0,0,0
966,0,0,0,0,0,0,0,1,1,0,0,0
727,0,0,1,0,0,0,1,0,0,0,0,0
1559,1,0,0,0,0,0,1,0,0,1,1,0
790,0,0,0,1,0,0,1,0,0,0,0,0
1938,0,0,0,1,0,0,0,0,0,0,1,0
1886,1,1,1,0,0,1,0,0,0,0,0,0
574,1,0,0,0,0,0,0,0,0,0,0,1
1765,0,0,0,1,0,0,0,0,0,0,1,0
636,1,0,0,0,0,0,0,0,1,0,0,0
1430,0,0,1,0,0,0,0,0,0,0,1,0
277,1,1,1,1,1,1,1,1,0,1,1,0
1574,1,0,0,0,0,0,0,0,1,0,0,0
141,0,0,0,0,1,0,0,0,0,0,0,1
1537,0,0,0,1,0,0,0,1,0,0,0,0
752,1,0,1,0,1,0,1,1,1,1,1,0
465,1,0,0,0,0,0,1,0,0,0,0,0
1870,0,0,0,0,0,0,0,0,0,1,0,1
1824,1,0,1,1,0,0,0,1,0,1,0,1
1398,0,1,1,1,0,0,0,0,0,0,1,0
175,1,0,1,1,0,1,0,1,0,0,1,0
548,1,1,1,1,1,1,0,0,0,1,1,0
1676,1,0,0,0,0,1,1,0,0,0,0,1
303,0,1,0,0,0,0,0,0,0,1,0,0
1880,1,0,0,0,0,1,1,0,1,0,0,0
311,1,1,1,1,1,0,0,1,1,1,1,1
980,1,1,1,0,1,0,0,1,1,1,1,0
1622,0,1,1,0,0,0,0,0,0,0,0,0
1237,0,0,0,0,1,0,0,0,0,0,0,1
1688,0,0,0,0,0,0,0,0,0,1,0,1
1385,0,0,1,0,0,1,0,0,0,0,0,0
1410,1,1,0,0,0,0,0,0,0,0,0,0
926,1,1,1,1,1,1,1,1,1,1,1,1
1279,0,0,1,0,1,0,0,0,0,0,0,0
1024,1,1,1,0,1,1,0,0,0,0,0,1
700,0,0,1,1,1,1,1,1,1,0,0,1
383,1,1,1,1,1,1,0,0,0,1,1,0
1587,0,1,0,0,0,0,0,0,1,0,0,0
1452,0,1,0,0,0,1,0,0,0,0,0,0
542,1,1,0,0,0,1,1,0,0,0,1,1
567,0,1,1,0,0,0,0,0,0,0,0,0
1875,1,0,0,1,0,1,0,0,0,0,0,1
1468,0,0,0,1,0,0,1,0,0,0,0,0
1482,0,1,0,0,0,0,0,0,0,1,0,0
604,0,1,0,0,0,0,0,1,0,0,0,0
1873,0,0,0,0,0,1,0,0,0,1,0,0
1417,0,0,0,0,1,1,0,0,0,0,0,0
728,0,1,0,0,0,0,1,0,0,0,0,0
692,0,1,0,0,0,0,0,0,1,0,0,0
1637,0,0,1,0,0,0,0,0,0,0,0,1
386,0,0,0,0,1,0,0,0,0,0,0,1
597,0,0,1,0,0,0,1,1,0,1,0,0
719,0,0,0,0,0,0,1,0,1,0,0,0
982,1,1,1,0,1,1,1,0,0,0,0,0
716,1,1,0,1,1,1,1,1,1,1,0,1
652,1,0,1,0,1,0,1,1,1,1,1,0
1194,1,0,0,0,0,0,1,1,1,0,1,1
1644,0,1,1,1,1,0,0,0,1,1,0,0
617,1,0,0,0,0,0,0,0,0,1,0,0
661,1,0,0,1,0,0,1,1,1,1,1,1
720,0,0,0,0,0,0,1,0,0,0,0,1
1899,1,0,0,0,1,1,0,0,0,1,0,0
1921,0,0,0,0,0,1,0,0,0,1,0,0
1929,1,0,0,0,1,0,0,0,0,0,0,0
733,1,0,0,0,0,0,0,1,0,0,0,0
1267,1,1,1,0,1,1,0,1,0,1,1,0
336,1,1,1,1,1,1,1,0,1,1,0,1
1731,1,0,0,0,0,0,1,0,0,0,0,0
235,0,0,1,0,0,0,0,1,0,0,0,0
608,0,0,0,1,0,0,0,0,0,1,0,0
1336,1,1,1,0,0,0,0,0,0,0,1,0
1099,1,0,0,0,0,0,1,0,0,0,0,0
791,1,0,0,0,0,1,1,0,0,0,0,1
134,0,0,0,1,0,0,0,0,0,1,0,0
514,1,0,0,0,1,0,0,0,0,0,0,0
1166,1,0,1,0,0,1,1,1,0,1,0,0
1860,0,1,0,0,0,0,1,0,0,0,0,0
1008,1,0,0,0,1,0,0,0,0,0,0,0
1206,1,1,1,0,1,1,1,0,1,1,1,1
286,1,1,1,1,1,1,0,1,1,1,0,1
819,0,1,0,1,0,0,0,0,1,1,1,1
1525,1,0,0,1,0,0,1,0,1,0,0,0
1286,1,0,1,0,0,0,0,0,0,0,0,0
115,1,1,1,0,1,0,1,1,0,1,0,1
1647,0,1,0,0,0,1,0,0,0,0,0,0
1273,1,1,1,1,1,1,0,1,1,0,1,1
568,0,1,1,0,0,0,0,0,0,0,0,0
758,0,1,0,0,0,0,0,0,0,0,0,1
314,1,1,1,1,1,1,0,1,0,1,1,1
1828,0,0,1,0,0,1,0,0,0,0,0,0
1609,0,0,0,1,0,0,0,0,1,0,0,0
1756,1,0,1,1,0,0,1,1,1,0,0,0
266,1,1,1,0,0,1,0,0,0,0,1,1
1737,0,0,0,0,1,0,0,1,0,0,0,0
49,0,1,0,0,0,0,0,0,0,1,0,0
1887,1,0,0,0,1,1,0,0,0,0,0,1
953,0,0,0,1,0,0,0,1,0,0,0,0
1661,0,0,0,1,1,1,1,1,0,0,1,0
393,0,0,0,0,0,0,1,0,0,0,1,0
1908,0,0,0,0,1,0,0,0,1,1,1,0
1928,0,0,0,0,0,0,1,1,0,0,1,1
8,1,0,0,1,1,0,1,0,0,0,0,0
1950,0,0,1,1,0,0,0,0,0,0,0,0
1037,0,0,1,0,0,0,1,0,0,0,0,0
202,1,0,1,1,0,0,1,1,0,0,0,1
1582,0,1,0,1,0,0,0,0,0,0,0,0
5,1,0,1,0,0,1,1,0,1,1,0,0
1641,0,1,0,0,0,0,0,0,0,0,0,1
914,1,0,0,0,0,1,0,0,0,0,0,0
1527,1,0,0,0,0,1,0,1,0,0,1,0
29,1,1,1,1,0,0,1,1,0,0,1,1
1785,0,0,1,0,0,0,0,0,0,0,1,0
602,0,1,0,0,0,0,0,0,0,1,0,0
39,1,0,0,0,0,1,0,0,0,0,0,0
75,1,0,1,1,0,1,1,0,0,1,0,0
1654,0,0,0,1,1,0,1,1,1,0,1,0
1195,0,0,0,0,0,1,0,1,0,0,0,0
1577,0,0,0,1,0,0,0,0,0,0,1,0
1611,0,0,0,0,0,1,1,1,0,0,1,0
1175,1,0,1,0,1,1,0,0,0,0,0,0
891,1,1,0,1,0,1,1,1,1,1,1,1
565,1,0,0,0,0,0,1,0,0,0,0,0
432,1,1,1,1,1,1,1,1,0,1,1,0
1721,1,0,1,0,0,0,0,0,0,1,1,0
1199,1,0,0,1,0,0,1,1,0,1,0,1
468,1,0,0,0,0,0,0,0,0,1,0,0
1850,1,0,0,1,1,0,0,0,0,0,0,1
977,0,0,0,0,0,0,0,0,0,1,1,0
1532,1,0,0,1,1,1,0,0,0,0,0,0
1157,1,1,1,1,1,1,1,1,1,0,0,1
760,0,1,0,1,0,0,0,0,0,0,0,0
1425,0,1,0,0,1,1,1,0,0,0,0,0
611,0,1,1,1,1,1,1,1,1,1,0,1
744,1,1,1,1,1,0,1,1,1,0,1,1
901,0,0,0,0,0,0,0,1,0,0,0,1
643,1,1,1,0,1,1,0,1,0,0,0,0
944,1,1,0,0,0,0,1,0,0,0,1,0
1562,0,0,0,0,0,0,0,0,1,1,0,0
229,0,0,1,1,0,0,1,1,0,0,0,0
1507,0,0,1,0,1,0,0,0,0,0,0,0
1902,1,0,0,1,1,1,0,0,0,0,0,0
1618,1,0,0,0,0,0,0,0,0,0,0,1
379,1,1,0,1,1,0,0,1,1,1,0,1
935,0,0,1,0,0,0,1,0,0,0,0,0
959,0,1,0,0,0,0,0,0,0,1,0,0
946,0,0,1,0,1,0,0,1,0,1,0,0
1746,1,0,0,1,0,0,1,1,0,0,0,0
1186,1,1,0,1,1,0,1,1,1,0,1,0
765,1,1,1,1,1,1,1,1,1,1,1,1
1816,0,0,1,0,0,1,0,1,0,1,0,0
1523,1,1,1,1,1,1,1,1,1,0,1,0
1914,1,0,1,0,1,0,0,1,0,1,0,1
762,1,1,1,1,1,0,0,1,1,1,0,0
119,1,1,1,0,0,1,1,0,1,1,0,1
289,1,1,1,1,1,1,1,0,0,1,1,1
1136,1,1,0,0,0,0,0,0,0,0,0,0
1143,1,0,0,0,0,0,0,0,1,0,0,0
1924,1,1,1,1,1,0,1,1,0,1,1,1
1690,1,0,0,0,0,0,0,0,0,0,1,0
1320,0,1,0,0,0,0,0,0,0,1,0,0
533,1,1,0,1,1,0,0,0,1,0,1,0
192,1,0,1,1,1,0,0,0,1,0,1,0
1478,0,0,0,0,1,0,0,0,1,0,0,0
159,1,0,0,0,0,1,0,1,0,1,0,0
37,1,1,1,1,1,1,1,1,1,1,0,0
648,0,0,1,0,1,1,0,1,1,0,0,1
1078,0,1,0,0,0,0,0,0,0,0,0,1
889,1,1,0,1,1,1,1,1,1,0,0,0
1140,0,0,0,0,0,0,1,1,0,0,0,0
842,0,0,0,0,1,0,0,0,0,1,0,0
900,0,0,0,0,0,0,0,0,0,0,1,1
1165,1,1,0,0,0,0,1,1,0,1,0,1
1265,1,0,1,1,0,1,1,1,1,1,1,1
1312,0,0,0,0,0,0,0,1,0,0,0,1
1796,1,0,1,0,0,0,1,1,0,0,0,0
702,0,1,1,0,1,1,1,1,0,0,0,0
1905,1,0,0,0,0,1,0,0,1,0,0,1
1213,0,0,0,0,0,1,1,1,1,0,0,0
328,1,1,1,1,1,0,0,1,1,1,1,1
768,1,1,1,1,1,1,1,1,1,1,1,1
273,1,1,1,1,1,1,1,1,0,0,1,1
1321,0,1,0,1,0,0,1,0,1,0,1,1
70,1,1,0,1,0,0,0,1,0,0,0,0
492,0,0,0,0,0,0,1,0,0,1,0,0
543,0,1,0,0,1,0,0,0,0,1,0,1
109,1,0,0,0,0,1,1,1,0,0,0,0
1627,0,0,1,1,0,0,0,0,0,0,0,0
1339,0,0,1,1,0,0,0,0,0,0,0,0
456,1,0,0,0,1,1,0,1,1,0,1,0
1655,0,1,0,1,1,0,1,1,0,0,0,1
429,1,0,0,0,0,0,1,0,0,0,0,0
313,1,1,1,1,1,1,1,1,1,0,1,0
672,1,0,0,0,0,0,0,0,0,1,0,0
163,0,0,0,0,0,1,1,1,1,0,0,0
622,1,1,0,0,0,0,1,1,1,0,1,0
1689,0,0,0,1,0,0,0,0,0,0,1,0
1155,0,1,0,0,1,1,0,1,0,0,0,0
294,1,1,1,1,1,0,1,0,1,1,1,1
1263,0,0,0,0,0,1,0,0,0,0,0,1
1949,0,0,1,1,0,0,0,0,0,0,0,0
912,1,0,0,0,0,0,0,0,1,0,0,0
1743,1,0,0,0,0,0,1,1,0,0,1,0
1945,1,0,0,0,0,0,0,0,0,1,0,0
783,1,1,1,1,1,1,1,1,1,1,1,1
838,1,0,1,0,1,0,1,1,1,0,0,0
193,1,1,1,1,0,0,0,0,1,0,1,0
969,0,0,0,0,0,1,1,0,0,0,0,0
1094,1,0,0,0,1,1,1,1,0,1,1,1
550,1,1,1,0,1,0,0,1,1,1,0,1
689,1,1,1,1,1,1,1,1,1,1,1,1
67,0,1,0,0,0,0,0,0,0,1,0,0
108,0,0,0,1,0,1,1,0,1,0,0,0
766,1,1,1,1,1,1,1,1,1,1,1,1
951,0,1,0,0,0,1,0,0,0,0,0,0
1672,0,0,0,0,0,0,0,1,0,0,1,0
1204,1,1,1,0,1,1,1,1,1,1,0,1
596,1,0,0,0,1,0,0,0,0,0,0,0
1534,0,0,0,0,0,0,1,0,0,1,0,0
93,0,0,1,0,0,0,0,0,0,0,1,0
770,1,1,1,1,0,1,0,0,1,0,0,0
1774,1,0,1,1,1,1,1,1,0,1,0,0
1370,1,0,0,0,0,0,0,0,1,0,0,0
505,1,1,1,1,0,0,0,1,1,1,0,1
275,1,1,1,1,1,1,1,1,1,0,0,1
253,0,0,0,1,0,0,0,0,1,0,0,0
1429,0,0,1,0,0,0,0,1,0,0,0,0
31,1,1,0,1,0,1,1,1,1,1,1,1
516,1,0,0,0,1,1,0,0,0,1,0,0
1693,0,0,0,0,0,0,0,0,0,0,1,1
81,1,0,1,1,1,1,0,0,0,0,0,1
599,0,0,1,0,0,0,0,1,0,0,0,0
730,0,0,0,0,0,0,1,0,0,0,0,1
1289,1,0,0,0,0,0,0,0,0,0,1,0
